mean_macro_f1,mean_weighted_f1,mean_mae,mean_quadratic_weighted_kappa,mean_high_risk_recall,mean_false_negative_rate,mean_auroc,mean_pr_auc,mean_brier_score,mean_ece,policy,budget,variant,split,n,avg_items_used
0.6035065496852415,0.8473621552265463,0.16842755214050495,0.7620160409293616,0.8699413401064344,0.13005865989356558,0.9393843496957264,0.5975121450456148,0.23906352044229484,0.0720235194649336,train_selected_fixed_maskaware_cart,19,cart,test,3644,19
0.49799781693628764,0.8836403389474423,0.12033479692645445,0.7593949858614061,0.29519921901997376,0.7048007809800263,0.9710762695777835,0.6954751166186782,0.1749994773315146,0.086306992257829,train_selected_fixed_maskaware_logistic_l2,19,logistic_l2,test,3644,19
0.6333350120659873,0.853259041208625,0.16376234906695938,0.7505114105672775,0.8343462747943879,0.165653725205612,0.9537925568817393,0.623258326753646,0.23089963566018407,0.06923332963171135,short_forms_maskaware_cart,19,cart,test,3644,19
0.4981960955149728,0.8850927192106985,0.11978594950603731,0.751246185174842,0.2943486937590711,0.7056513062409289,0.968435556701521,0.7243558851473493,0.18064326504632913,0.09009669059667698,short_forms_maskaware_logistic_l2,19,logistic_l2,test,3644,19
