policy,budget,variant,scale_key,sigma,validation_ece
response_only_uncertainty,19,responses_coverage_only_calibration,phq9,2.0,0.068041651641985
response_only_uncertainty,19,responses_coverage_only_calibration,gad7,1.5,0.0112187202589379
response_only_uncertainty,19,responses_coverage_only_calibration,pss,6.0,0.2526959913587232
response_only_uncertainty,19,responses_coverage_only_calibration,isi,2.75,0.0361918484740848
response_only_uncertainty,19,responses_uncertainty_only_calibration,phq9,1.0,0.0702427121082084
response_only_uncertainty,19,responses_uncertainty_only_calibration,gad7,1.0,0.0114497708282513
response_only_uncertainty,19,responses_uncertainty_only_calibration,pss,6.0,0.2203237413315308
response_only_uncertainty,19,responses_uncertainty_only_calibration,isi,2.0,0.0419692988337939
response_only_uncertainty,19,responses_shuffled_rt_calibration,phq9,1.75,0.0579502563189257
response_only_uncertainty,19,responses_shuffled_rt_calibration,gad7,1.25,0.0112059524673025
response_only_uncertainty,19,responses_shuffled_rt_calibration,pss,6.0,0.19419410578317
response_only_uncertainty,19,responses_shuffled_rt_calibration,isi,2.5,0.0316407715378816
fixed_order,19,rt_only,phq9,2.5,0.0298946961691707
fixed_order,19,rt_only,gad7,2.75,0.007457248096844
fixed_order,19,rt_only,pss,6.0,0.2714860320791173
fixed_order,19,rt_only,isi,4.0,0.0129028372722834
rt_aware_uncertainty,19,responses_rawrt,phq9,2.0,0.0687100980979422
rt_aware_uncertainty,19,responses_rawrt,gad7,1.5,0.0098846317243722
rt_aware_uncertainty,19,responses_rawrt,pss,6.0,0.252599274643717
rt_aware_uncertainty,19,responses_rawrt,isi,2.75,0.0364754240682325
rt_aware_uncertainty,19,responses_resid_content,phq9,2.25,0.0570056596564706
rt_aware_uncertainty,19,responses_resid_content,gad7,1.0,0.0099035922694894
rt_aware_uncertainty,19,responses_resid_content,pss,6.0,0.2533694816325839
rt_aware_uncertainty,19,responses_resid_content,isi,2.75,0.0361094245700271
rt_aware_uncertainty,19,responses_resid_conditioned,phq9,2.25,0.05750205618264667
rt_aware_uncertainty,19,responses_resid_conditioned,gad7,1.0,0.009825846859921052
rt_aware_uncertainty,19,responses_resid_conditioned,pss,6.0,0.25330297365297005
rt_aware_uncertainty,19,responses_resid_conditioned,isi,2.75,0.03595074592690514
