scale,n_decisions,shortform_error_rate,n_errors,high_risk_fn_rate,n_high_risk_fn,overconfident_threshold,overconfident_wrong_rate,n_overconfident_wrong,mean_issued_confidence,mean_entropy,mean_reliability
PHQ-9,3644,0.10784851811196487,393,0.001646542261251372,6,0.921163571401076,0.009330406147091108,34,0.8841503805732449,0.27903068100021794,0.863401387803918
GAD-7,3644,0.03896816684961581,142,0.0005488474204171241,2,0.921163571401076,0.005488474204171241,20,0.9593789677444738,0.08611153600968724,0.863401387803918
PSS,3644,0.4289242590559824,1563,0.007958287596048299,29,0.921163571401076,0.1350164654226125,492,0.8199237932260541,0.4243127032104124,0.863401387803918
ISI,3644,0.04720087815587267,172,0.0010976948408342481,4,0.921163571401076,0.009055982436882546,33,0.9485680165649276,0.12431543442461997,0.863401387803918
Mean / all scale-decisions,14576,0.15573545554335894,2270,0.0028128430296377608,41,0.921163571401076,0.03972283205268935,579,0.9030052895271752,0.22844258866123437,0.8634013878039178
