calibration_method,uses_true_rt,label_preserved,mean_macro_f1,mean_mae,mean_high_risk_recall,mean_brier_score,mean_ece,mean_ece_argmax,mean_adaptive_ece,mean_adaptive_ece_argmax,mean_classwise_ece,mean_nll,mean_argmax_change_rate,budget,validation_temperature_by_scale
response_only_uncalibrated,No,Yes,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.2602558418533242,0.09791398936547349,0.09787441141549158,0.09186310225180888,0.0944436465331614,0.06120067652397679,0.7957084728057794,0.007135016465422613,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
temperature_scaling,No,Yes,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.24314991323981722,0.07951508579392687,0.07947550784395203,0.06798653832956651,0.07056708261092043,0.06889997073112557,0.4382131919037322,0.007135016465422613,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
one_vs_rest_isotonic,No,Yes,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.1411720618718178,0.03765413700753536,0.031034188291374946,0.03421484292206304,0.026986000432168294,0.01935654210638035,0.24719819703010493,0.13597694840834249,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
constant_softening,No,Yes,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.2495576180727857,0.07067797919300164,0.07039868333439671,0.08243772533639346,0.08379551396335057,0.059507836516831975,0.6071610135161714,0.007135016465422613,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
shuffled_rt_placebo,Shuffled,Yes,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.2532195366605964,0.07797646952807875,0.07777165082387313,0.07639640462721543,0.07891556678412907,0.05927329690389997,0.6594048634182955,0.007135016465422613,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
true_rt_calibration_only,Yes,Yes,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.250490061146897,0.08297214657503824,0.08276338260993306,0.07430205236000818,0.07674180019690706,0.05928827159679443,0.5872492843238808,0.007135016465422613,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
rt_score_adjusted,Yes,No,0.6763809183530785,0.18310922063666302,0.9373825074296772,0.24696782743187531,0.08480770546017498,0.07931600646221065,0.07975335214756057,0.07668790426044267,0.05532820000408171,0.6717284388135838,0.020650384193194288,19,"{""phq9"": 1.0, ""gad7"": 1.0, ""pss"": 5.0, ""isi"": 1.25}"
