residual_model,winsor_lower_pct,winsor_upper_pct,train_R2_log_rt,train_residual_sd,residual_mean_all,residual_sd_all,residual_q05,residual_q50,residual_q95,rt_cal_only_mean_macro_f1,rt_cal_only_mean_mae,rt_cal_only_mean_high_risk_recall,rt_cal_only_mean_brier_score,rt_cal_only_mean_ece,rt_cal_only_mean_ece_argmax,rt_cal_only_mean_adaptive_ece,rt_cal_only_mean_adaptive_ece_argmax,rt_cal_only_mean_classwise_ece,rt_cal_only_mean_nll,rt_cal_only_mean_argmax_change_rate
"Content model, 0.5-99.5% winsorization",0.5,99.5,0.037710443599421106,0.6468716642659172,-0.0026299407918696223,1.0000278164386918,-1.5929985727090294,-0.027209080976100485,1.6551440341593366,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.25044867045381447,0.0829027327341459,0.08269438055366857,0.07426964250947046,0.07671101328966456,0.05931630738042427,0.5865283848020161,0.007135016465422613
"Item fixed-effect model, 0.5-99.5% winsorization",0.5,99.5,0.1715430246304328,0.6002058455849656,-0.0028344178742535494,1.0001669817820336,-1.619455713365126,-0.03918584010827543,1.6601127000139682,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.250940590703852,0.08241476384618927,0.0822078842013698,0.07442477272358626,0.07686378251651182,0.05908735034812148,0.5966275504471438,0.007135016465422613
"Scale-specific content model, 0.5-99.5% winsorization",0.5,99.5,0.08588786067378618,0.6304708034164221,-0.002698355209692148,1.000060186108757,-1.6066096135954642,-0.029137435661112314,1.6549500766997198,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.2507684926023194,0.08185928433906131,0.0816506056610515,0.07368955930224005,0.07613024504648483,0.05941239526697698,0.5925311896079984,0.007135016465422613
"Content model, 1-99% winsorization",1.0,99.0,0.03857771642530006,0.6357469665879669,-0.0025880268660645285,1.0002569322601318,-1.6154187572107013,-0.023479096241568766,1.688432252960491,0.6885556988052488,0.18681394072447863,0.9436152291105121,0.2503292463731195,0.08229251504219838,0.08208393801543083,0.07362495919870106,0.0760714438200025,0.05944075199232752,0.5850840159140507,0.007135016465422613
