target,model,selected_C,overconfidence_threshold,n_train,n_test,test_positive_n,pr_auc,roc_auc,recall_at_top10pct,precision_at_top10pct,high_risk_fn_capture_at_top10pct
wrong,confidence_only,0.1,0.921163571401076,20000,14576,2270,0.4668398737626619,0.8634874932968483,0.2828193832599119,0.4403292181069959,0.3170731707317073
wrong,score_coverage_only,0.1,0.921163571401076,20000,14576,2270,0.42466589035653823,0.8527223746018382,0.26784140969162995,0.4170096021947874,0.5853658536585366
wrong,rt_only,10.0,0.921163571401076,20000,14576,2270,0.409154605771674,0.8123832004874239,0.29515418502202645,0.45953360768175583,0.4146341463414634
wrong,confidence_plus_rt,10.0,0.921163571401076,20000,14576,2270,0.4883554854810584,0.868470879503641,0.3136563876651982,0.4883401920438957,0.36585365853658536
wrong,all_observed_prefix,10.0,0.921163571401076,20000,14576,2270,0.4808237623882522,0.8681393911927207,0.30440528634361236,0.4739368998628258,0.4146341463414634
wrong,shuffled_rt_placebo,1.0,0.921163571401076,20000,14576,2270,0.43852981093620397,0.8602961128520809,0.26123348017621145,0.406721536351166,0.2926829268292683
overconfident_wrong,confidence_only,10.0,0.921163571401076,20000,14576,579,0.5404628985018441,0.9523778411436056,0.8497409326424871,0.3374485596707819,0.04878048780487805
overconfident_wrong,score_coverage_only,1.0,0.921163571401076,20000,14576,579,0.47621253225580995,0.8776334751229076,0.8238341968911918,0.3271604938271605,0.07317073170731707
overconfident_wrong,rt_only,10.0,0.921163571401076,20000,14576,579,0.5570144868226612,0.8862509768007283,0.770293609671848,0.3058984910836763,0.17073170731707318
overconfident_wrong,confidence_plus_rt,1.0,0.921163571401076,20000,14576,579,0.7723590940309529,0.9576232903596539,0.8583765112262521,0.34087791495198905,0.04878048780487805
overconfident_wrong,all_observed_prefix,0.1,0.921163571401076,20000,14576,579,0.758496855676629,0.947204452767636,0.8549222797927462,0.3395061728395062,0.0975609756097561
overconfident_wrong,shuffled_rt_placebo,1.0,0.921163571401076,20000,14576,579,0.49207087464938404,0.9186700875823008,0.8497409326424871,0.3374485596707819,0.04878048780487805
