heldout_scale,train_scales,model,selected_C,n_test,test_error_rate,pr_auc,roc_auc,recall_at_top10pct,precision_at_top10pct,high_risk_fn_capture_at_top10pct
PHQ-9,GAD-7+PSS+ISI,confidence_only,1.0,3644,0.10784851811196487,0.20546024392674475,0.7552215290186695,0.01272264631043257,0.0136986301369863,0.8333333333333334
PHQ-9,GAD-7+PSS+ISI,confidence_plus_rt,10.0,3644,0.10784851811196487,0.15418073152249442,0.6934284459743449,0.09669211195928754,0.10410958904109589,0.16666666666666666
PHQ-9,GAD-7+PSS+ISI,shuffled_rt_placebo,10.0,3644,0.10784851811196487,0.18011968330912398,0.7493423436750327,0.07124681933842239,0.07671232876712329,0.5
GAD-7,PHQ-9+PSS+ISI,confidence_only,0.1,3644,0.03896816684961581,0.6416735751735874,0.9637380249515367,0.8028169014084507,0.31232876712328766,1.0
GAD-7,PHQ-9+PSS+ISI,confidence_plus_rt,0.1,3644,0.03896816684961581,0.08216436332513256,0.5605669999436941,0.23943661971830985,0.09315068493150686,0.0
GAD-7,PHQ-9+PSS+ISI,shuffled_rt_placebo,0.1,3644,0.03896816684961581,0.38528999604483,0.9518303424200255,0.8169014084507042,0.3178082191780822,1.0
PSS,PHQ-9+GAD-7+ISI,confidence_only,1.0,3644,0.4289242590559824,0.4840630468491433,0.4701147050531529,0.1695457453614843,0.726027397260274,0.0
PSS,PHQ-9+GAD-7+ISI,confidence_plus_rt,10.0,3644,0.4289242590559824,0.38988436654630243,0.4071059394583354,0.10108765195137556,0.4328767123287671,0.2413793103448276
PSS,PHQ-9+GAD-7+ISI,shuffled_rt_placebo,1.0,3644,0.4289242590559824,0.4729981868190092,0.46895117541243114,0.15738963531669867,0.673972602739726,0.0
ISI,PHQ-9+GAD-7+PSS,confidence_only,10.0,3644,0.04720087815587267,0.24309839503737732,0.9144710842889294,0.563953488372093,0.26575342465753427,0.75
ISI,PHQ-9+GAD-7+PSS,confidence_plus_rt,10.0,3644,0.04720087815587267,0.1578299065018555,0.8571428571428571,0.2616279069767442,0.1232876712328767,0.25
ISI,PHQ-9+GAD-7+PSS,shuffled_rt_placebo,10.0,3644,0.04720087815587267,0.22326450183377963,0.9080836057228593,0.5348837209302325,0.25205479452054796,0.75
